song_title,artist,INDEX-VAL,index
Shut Up Kiss Me,Angel Olsen,0.133161,414
Stone Cold,Demi Lovato,0.133308,415
Doubts 2,Ibrahim Maalouf,0.133536,416
Chop Suey!,System Of A Down,0.13356,417
Ride On / Right On,Phosphorescent,0.134211,418
Go Down in History,Four Year Strong,0.134835,419
Capitol,TR/ST,0.135729,420
Get What You Give,Felix Cartal,0.135842,421
The Devil's Bleeding Crown,Volbeat,0.13585,422
Summer,Marshmello,0.136422,423
You'll Never Walk Alone - 2002 Remastered Version,Gerry & The Pacemakers,0.136488,424
BIG Fun - Full Intention 88 Remix,Inner City,0.13651,425
Billie Holiday,Warpaint,0.136752,426
"10,000 Reasons (Bless the Lord) [Radio Version]",Matt Redman,0.136782,427
Just Say The Word,Jerry Townes,0.1368,428
My All In All,Phil Wickham,0.136904,429
Open,Yellow Claw,0.137286,430
"The New International Sound, Pt. 2 (feat. M.I.A.)",GENER8ION,0.137544,431
Baby,Donnie & Joe Emerson,0.137668,432
In Awe,Hollyn,0.137984,433
All I Wanna Do,The Beach Boys,0.138123,434
Quit You - Wuki Remix,Lost Kings,0.138198,435
Pyramid (feat. Iyaz),Charice,0.138252,436
Breakn' A Sweat,Skrillex,0.138272,437
Feel The Volume,Jauz,0.138475,438
Autumn Nocturne,Lou Donaldson,0.138523,439
Harlem Shake,Baauer,0.138589,440
Paranoia,A Day To Remember,0.138651,441
Ironic - 2015 Remastered,Alanis Morissette,0.13872,442
Honest,Joseph,0.138768,443
Modern Flame (feat. Yuna),Emmit Fenn,0.138825,444
Wrath Of God,Crystal Castles,0.138996,445
Otherside,Suyano,0.13923,446
Adorn,Miguel,0.139375,447
Help,Papa Roach,0.139425,448
God Must Have Spent a Little More Time on You - Remix,*NSYNC,0.139464,449
I'll Make Love To You,Boyz II Men,0.139624,450
Chained,The xx,0.139812,451
Flow,Disclosure,0.13986,452
I Won't Let You Go - Radio Version,Switchfoot,0.139916,453
Don't You Cry For Me,Cobi,0.14022,454
Human,Jon McLaughlin,0.140679,455
Time-Out,Terror Train,0.141215,456
Almost Is Never Enough,Nathan Sykes,0.1416,457
Don't Say,Lullanas,0.141804,458
Clique,JAY Z,0.141968,459
Ready 2 Go,Martin Solveig,0.142004,460
Summer Madness,Kool & The Gang,0.14214,461
Genesis,Grimes,0.142363,462
I'm Going Down,Rose Royce,0.142956,463
Best Night,The War On Drugs,0.143075,464
Broken Things,Matthew West,0.143314,465
Iris,The Goo Goo Dolls,0.143463,466
Exchange,Bryson Tiller,0.14416,467
Sentimental Trash,Sweet Valley,0.144263,468
Cake Love (PROD. BY The Black Skirts),XIA,0.144288,469
Gonna Die,Autre Ne Veut,0.144786,470
Xanny Family,Future,0.144974,471
Bambi,Jidenna,0.145112,472
Drippin,MiM0SA,0.14553,473
